"YEAR","CASEID","METRO","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","HH_NUMADULTS","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","EDUCYRS","MULTJOBS","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","KIDUND18","KIDUND1","COVIDTELEW","ACT_HHACT"
2020,20200706200904,2,16,3,1,1,1,1,2,1,1,3164160.056255,47,1,100,1,217,0,1,40,2884.61,1,1,0,99,90
2020,20200706200909,2,5,1,2,0,1,0,1,1,1,7966454.785631,85,2,100,3,217,99,99,9999,99999.99,3,0,0,99,53
2020,20200706200912,4,15,5,1,1,5,2,3,1,1,1.7718506615548E7,48,1,100,1,214,1,1,9995,1480.0,1,1,0,99,0
2020,20200706200917,2,11,1,1,0,1,0,1,1,1,4358315.400109,68,1,100,3,217,99,99,9999,99999.99,3,0,0,99,170
2020,20200706200919,2,16,2,1,0,1,0,2,1,1,7221917.244485,74,1,100,5,316,0,1,50,2884.61,2,0,0,99,0
2020,20200706200920,4,10,4,2,1,1,2,2,1,1,4280959.040948,34,2,100,2,112,0,1,40,720.0,3,1,0,99,400
2020,20200706200924,1,10,1,1,0,1,0,1,1,1,2359037.07499,59,1,110,4,112,0,1,60,650.0,3,0,0,99,18
2020,20200706200925,1,5,2,1,0,1,0,2,1,1,1.5463266140326E7,52,1,100,6,111,99,99,9999,99999.99,3,0,0,99,130
2020,20200706200926,1,16,2,1,0,1,0,2,1,1,1.3418199212665E7,67,1,110,1,217,99,99,9999,99999.99,1,0,0,99,175
2020,20200706200930,3,8,2,2,0,1,0,2,1,1,8988298.026068,46,1,100,6,109,0,1,40,560.0,2,0,0,99,330
2020,20200706200931,4,7,1,1,0,1,0,1,1,1,2298193.426627,54,2,110,4,316,99,99,9999,99999.99,3,0,0,99,565
2020,20200706200933,1,15,1,1,0,1,0,1,1,1,5705953.87886,62,2,100,4,217,0,1,40,1936.61,3,0,0,99,120
2020,20200706200935,4,13,4,1,1,1,2,2,1,1,5382733.305928,25,2,100,1,217,0,2,25,423.07,1,1,1,99,580
2020,20200706200940,3,16,4,1,1,1,2,2,1,1,3976659.88418,39,1,100,1,320,0,1,55,1730.76,1,1,0,99,290
2020,20200706200943,1,11,1,1,0,1,0,1,1,1,6971031.365277,58,1,100,6,217,99,99,9999,99999.99,3,0,0,99,279
2020,20200706200947,2,11,4,1,1,1,2,2,1,1,5672326.594185,47,2,100,4,216,0,1,40,960.0,3,1,0,99,192
2020,20200706200953,2,14,2,1,0,1,0,2,1,1,1.0108766125853E7,73,1,100,1,321,99,99,9999,99999.99,1,0,0,99,60
2020,20200706200956,1,12,2,2,0,1,0,2,1,1,4403118.610243,50,2,100,1,112,0,1,40,1116.8,1,0,0,99,0
2020,20200706200975,1,16,3,1,1,1,1,2,1,1,8099364.09615,38,1,100,1,217,0,1,40,1769.23,1,1,0,99,270
2020,20200706200980,4,9,2,1,1,1,1,1,1,1,3911445.99884,35,2,100,6,112,0,2,14,266.0,3,1,0,99,468
2020,20200706200982,2,1,1,2,0,1,0,1,1,1,1.0476801280738E7,44,2,100,6,110,99,99,9999,99999.99,3,0,0,99,30
2020,20200706200984,2,16,2,1,0,1,0,2,1,1,4608107.535225,51,1,100,1,316,0,1,40,2884.61,1,0,0,99,340
2020,20200706200986,1,13,3,1,0,1,0,3,1,1,1.2296081933935E7,34,1,100,6,112,99,99,9999,99999.99,3,0,0,99,125
2020,20200706200988,1,4,1,2,0,1,0,1,1,1,5613893.451222,71,2,110,6,214,99,99,9999,99999.99,3,0,0,99,333
2020,20200706200990,2,4,2,1,0,1,0,2,1,1,1.1009273342919E7,29,1,100,6,214,0,1,40,600.0,3,0,0,99,30
2020,20200706200995,2,15,3,1,0,1,0,3,1,1,2.5392505756025E7,32,2,100,6,217,0,1,40,692.3,3,0,0,99,11
2020,20200706200997,2,12,2,1,0,1,0,2,1,1,1.0826488152399E7,64,2,100,1,112,99,99,9999,99999.99,1,0,0,99,340
2020,20200706200999,4,8,4,1,1,1,2,2,1,1,1.1865139104339E7,60,2,100,4,316,0,2,32,692.3,3,1,0,99,20
2020,20200706201003,4,13,2,1,0,1,0,2,1,1,1.111029121457E7,80,2,100,1,316,99,99,9999,99999.99,1,0,0,99,215
2020,20200706201010,3,4,1,1,0,1,0,1,1,1,1835851.51175,80,2,100,3,213,99,99,9999,99999.99,3,0,0,99,190
2020,20200706201012,1,14,2,2,0,1,0,2,1,1,2.0676358855749E7,31,2,100,6,217,0,2,30,630.0,2,0,0,99,30
2020,20200706201017,2,9,4,2,1,1,3,1,1,1,2014295.95321,39,2,100,4,321,0,1,40,681.81,3,1,0,99,217
2020,20200706201019,3,10,1,1,0,1,0,1,1,1,7310305.549026,54,1,100,4,214,0,2,15,160.0,3,0,0,99,25
2020,20200706201020,2,13,2,1,0,1,0,2,1,1,8356703.271476,56,1,100,1,213,0,1,60,1650.0,1,0,0,99,60
2020,20200706201021,3,12,2,2,0,1,0,2,1,1,9565142.108455,52,2,100,4,316,0,1,84,99999.99,3,0,0,99,47
2020,20200706201023,4,7,4,2,1,1,2,2,1,1,8025751.245055,27,2,100,6,102,99,99,9999,99999.99,2,1,0,99,90
2020,20200706201024,2,15,3,1,0,1,0,3,1,1,6162230.61495,68,1,100,1,107,99,99,9999,99999.99,1,0,0,99,240
2020,20200706201026,2,13,2,1,0,1,0,2,1,1,2.886457016956E7,58,1,110,4,112,99,99,9999,99999.99,3,0,0,99,690
2020,20200706201029,3,7,1,1,0,1,0,1,1,1,1.0155841472694E7,76,2,100,3,107,0,2,6,127.5,3,0,0,99,242
2020,20200706201033,3,12,2,2,0,1,0,2,1,1,5618782.360221,55,1,100,1,112,0,1,48,720.0,1,0,0,99,150
2020,20200706201035,2,10,4,2,1,1,1,3,1,1,1.0731943229594E7,45,1,100,2,112,99,99,9999,99999.99,2,1,0,99,0
2020,20200706201036,4,10,2,1,0,1,0,2,1,1,8381763.931004,56,1,100,6,217,1,2,9995,240.5,3,0,0,99,0
2020,20200706201038,1,9,3,2,1,1,2,1,1,1,8118557.862704,32,2,110,5,217,0,1,40,695.28,3,1,0,99,30
2020,20200706201040,1,14,2,1,0,1,0,2,1,1,8027128.444322,69,1,100,1,214,0,1,40,680.0,1,0,0,99,35
2020,20200706201043,1,13,3,1,1,1,1,2,1,1,1.0782144110138E7,31,1,100,1,215,0,1,40,732.0,1,1,0,99,0
2020,20200706201048,1,12,4,2,1,1,2,2,1,1,1.0235756409217E7,59,2,131,4,213,99,99,9999,99999.99,2,1,0,99,50
2020,20200706201051,1,9,1,1,0,1,0,1,1,1,3033024.999836,67,2,110,4,109,99,99,9999,99999.99,3,0,0,99,0
